Package	Version	
absl-py	0.15.0	
astor	0.8.1	
biopython	1.76	
colorama	0.4.5	
cycler	0.11.0	
dill	0.3.4	
gast	0.2.2	
gatkpythonpackages	0.1	
google-pasta	0.2.0	
grpcio	1.38.1	
h5py	2.10.0	
importlib-metadata	4.8.1	
joblib	1.2.0	
Keras	2.2.4	
Keras-Applications	1.0.8	
Keras-Preprocessing	1.1.2	
kiwisolver	1.3.1	
Mako	1.2.4	
Markdown	3.4.1	
MarkupSafe	2.0.1	
matplotlib	3.2.1	
mkl-service	2.3.0	
numpy	1.17.5	
opt-einsum	3.3.0	
pandas	1.0.3	
patsy	0.5.3	
pip	20.0.2	
protobuf	3.18.0	
pygpu	0.7.6	
pymc3	3.1	
pyparsing	3.0.9	
pysam	0.15.3	
python-dateutil	2.8.2	
pytz	2022.7.1
PyVCF	0.6.8	
PyYAML	5.4.1	
scikit-learn	0.23.1	
scipy	1.0.0	
setuptools	58.0.4	
six	1.16.0	
tensorboard	1.15.0	
tensorflow	1.15.0	
tensorflow-estimator	1.15.1	
termcolor	1.1.0	
Theano	1.0.4	
threadpoolctl	3.1.0	
tornado	6.1	
tqdm	4.65.0	
typing-extensions	4.1.1	
Werkzeug	0.16.1	
wheel	0.37.1	
wrapt	1.13.1	
zipp	3.6.0	
